Name,Title,Location,Profile Link,Rating,Price,Degree
Dr. Bernard R.,Freelance Statistician and Data Analyst | Expertise in nonlinear dynamics and complex systems,United States,,★★★★★,USD 120/hr,Doctor of Science - Epidemiology
Dr. Thomas G.,Professional Scientific Writer with extensive experience in numerous scientific fields,United States,,★★★★★,USD 50/hr,Doctor of Science - Epidemiology
Dr. Luca A.,MD & Research Fellow - Regenerative Orthopaedics and Spine Surgery | Expert Peer Reviewer | Scientific Writer,Albania,,★★★★★,USD 100/hr,Doctor of Science - Epidemiology
Dr. Milica N.,PhD in molecular biology and extensive experience in cancer research.,Serbia,,★★★★★,USD 20/hr,Doctor of Science - Epidemiology
Dr. Peter W.,"Translator, writer and editor",Israel,,★★★★★,USD 25/hr,Doctor of Science - Epidemiology
Dr. Gajanan P.,"Designing, developing and demonstrating various products in the chemical science",India,,★★★★★,N/A,Doctor of Science - Epidemiology
Dr. Gloria G.,Freelance Statistician & Data Analyst| PhD,Italy,,★★★★★,USD 40/hr,Doctor of Science - Epidemiology
Dr. Elena T.,Freelance Biomedical Researcher | Data analyst (microscopy and omic data) | Scientific writer,Spain,,★★★★★,USD 50/hr,Doctor of Science - Epidemiology
Dr. Michael R.,,United States,,★★★★★,USD 175/hr,Doctor of Science - Epidemiology
Dr. Ageetha V.,"Assistant Professor Chemistry, Expert in writing Scientific Articles, Dedicated and hardworking to complete the task",India,,★★★★★,USD 100/hr,Doctor of Science - Epidemiology
Dr. Hugo L.,Food and Biomaterials Research | Spray Drying | Modeling,Brazil,,★★★★★,USD 50/hr,Doctor of Science - Epidemiology
Dr. Ana Laura M.,"Scientific & Medical Writer | Project Manager | Scientific Consultant | Mol. Biology, Embryology and Fertility expert.",Argentina,,★★★★★,USD 20/hr,Doctor of Science - Epidemiology
Dr. Ivan R.,N/A,Brazil,,★★★★★,N/A,Doctor of Science - Epidemiology
Dr. Meredith A.,"Academic Research, Writing, and Publication Consultant - Social Sciences",South Africa,,★★★★★,USD 65/hr,Doctor of Science - Epidemiology
Dr. Dhirendra P.,"Experienced Freelance Consultant, Psychiatrist, Researcher, and Trainer specializing in mental health and well-being.",Nepal,,★★★★★,USD 25/hr,Doctor of Science - Epidemiology
Dr. Paolo S.,"Physicist skilled in theoretical research, AI projects, programming, teaching and horsemanship.",Italy,,★★★★★,USD 40/hr,Doctor of Science - Epidemiology
Dr. Dorian R.,Biomedical Research Consultant,United States,,★★★★★,USD 100/hr,Doctor of Science - Epidemiology
Dr. Sumit M.,"Skilled professional in MD simulations, QM/MM calculations, Docking and Free energy calculations.",India,,★★★★★,USD 10/hr,Doctor of Science - Epidemiology
