price,country,rating,reviews,Region,skills_list,level,categories,skills_list_standardization,Extracted_Skills_from_description_list
18,India,5.0,490,Asia,"['PHPWebsite', 'DesignHTMLMySQLSoftware', 'Architecture']",5,"['Graphic Design', 'Programming', 'Web Development']","['Website', 'Design', 'My', 'Software', 'Architecture']","[' Web', ' Development', ' quality', ' expertise', ' Solutions', 'business', ' Data', ' work', ' Google', ' Design', ' PHP', ' App', ' React', ' Mobile']"
15,India,5.0,7018,Asia,"['SEOLink', 'BuildingInternet', 'MarketingAdvertisingGoogle', 'Adwords']",5,['Marketing'],"['Link', 'Building', 'Internet', 'Marketing', 'Advertising', 'Google', 'Adwords']","[' Data', ' Experience', ' Years', ' social', ' expertise', ' Projects', ' Clients', 'clients', ' Digital', ' SEO', ' Business', ' Google', ' Professional', ' Social', ' Marketing', ' Time', ' Expertise', ' Content', ' business']"
45,Pakistan,5.0,195,Asia,"['PHPWebsite', 'DesignHTMLSoftware', 'ArchitectureGraphic', 'Design']",5,"['Graphic Design', 'Programming', 'Web Development']","['Website', 'Design', 'Software', 'Architecture', 'Graphic', 'Design']","[' Experience', ' experience', ' Years', ' web', ' Logo', 'Projects', ' Software', ' digital', ' solutions', ' Clients', ' time', ' SERVICES', ' Website', ' applications', ' mobile', ' Digital', ' Design', ' App', ' Development', ' services', ' creating', ' Client', ' Services', ' Time', ' google', ' Mobile', ' Project', ' business']"
30,Bangladesh,5.0,3633,Asia,"['TranslationEnglish (US)', 'TranslatorEnglish (UK)', 'TranslatorFrench', 'Translator']",5,['Translation'],"['Translation', 'English', 'Translator', 'English', 'Translator', 'French', 'Translator']","[' quality', ' MANAGEMENT', ' services', ' High', ' DEVELOPMENT', ' work', ' WORK', ' CONTENT', 'experience', ' DIGITAL', ' Quality', ' professional', ' project']"
45,India,5.0,558,Asia,"['Internet', 'MarketingFacebook', 'MarketingSocial', 'Media', 'Marketing']",3,['Other'],"['Internet', 'Marketing', 'Facebook', 'Marketing', 'Social', 'Media', 'Marketing']","[' Web', ' business', ' services', ' Business', ' expertise', ' Google', ' Social', ' Services', 'Marketing', ' Website', ' Management', ' marketing', ' Marketing']"
30,India,5.0,2679,Asia,"['Graphic', 'DesignLogo', 'DesignPhotoshopIllustrationBanner', 'Design']",5,['Graphic Design'],"['Graphic', 'Design', 'Logo', 'Design', 'Photoshop', 'Illustration', 'Banner', 'Design']","[' logo', ' Logo', ' clients', ' Digital', ' expertise', ' Business', ' graphic', ' Design', ' experience', ' design', ' years', 'graphic', ' designer']"
40,India,5.0,709,Asia,"['jQueryJSONReact.jsC#', 'Programming.NET']",4,['Other'],"['j', 'Query', 'React', 'js', 'Programming']","[' Web', ' Development', ' Data', ' JS', ' using', ' work', 'Web', ' Social', ' Wordpress', ' software', ' TIME', ' Work', ' custom', ' development', ' React', ' PHP', ' web']"
60,India,5.0,1029,Asia,"['ExcelVisual', 'BasicWeb', 'ScrapingData', 'EntryData', 'Processing']",4,"['Finance', 'Web Development']","['Excel', 'Visual', 'Basic', 'Web', 'Scraping', 'Data', 'Entry', 'Data', 'Processing']","[' Web', ' expertise', ' Experience', 'Time', ' applications', ' Expert']"
35,India,5.0,3307,Asia,"['Graphic', 'DesignLogo', 'DesignPhotoshopBrochure', 'DesignAdobe', 'InDesign']",5,['Graphic Design'],"['Graphic', 'Design', 'Logo', 'Design', 'Photoshop', 'Brochure', 'Design', 'Adobe', 'In', 'Design']","[' Logo', ' Development', ' business', ' Project', ' services', ' Projects', ' work', ' graphic', ' Design', ' Marketing', ' Website', 'website', ' professional']"
95,Croatia,5.0,223,Europe,"['Graphic', 'DesignWebsite', 'DesignPHPHTMLWordPress']",5,"['Graphic Design', 'Web Development']","['Graphic', 'Design', 'Website', 'Design', 'Word', 'Press']","[' Digital', ' business', ' digital', ' app', ' High', 'business', ' Custom', ' software', ' design', ' development', ' React', ' Mobile', ' web', ' WordPress']"
15,India,5.0,2170,Asia,"['SEOInternet', 'MarketingLink', 'BuildingMarketingWordPress']",5,['Other'],"['Internet', 'Marketing', 'Link', 'Building', 'Marketing', 'Word', 'Press']","['SEO', ' clients', ' SEO', ' digital', ' expertise', ' Working', ' work', ' Google', ' experience', ' years', ' working', ' marketing', ' business', ' project']"
12,India,5.0,1914,Asia,"['SEOInternet', 'MarketingLink', 'BuildingMarketingWebsite', 'Design']",5,"['Graphic Design', 'Web Development']","['Internet', 'Marketing', 'Link', 'Building', 'Marketing', 'Website', 'Design']","[' SEO', ' services', ' Help', ' work', ' Design', 'working', ' website', ' Years', ' experience', ' Website', ' Work', ' professional']"
2,India,5.0,923,Asia,"['SEOLink', 'BuildingInternet', 'MarketingMarketingSocial', 'Media', 'Marketing']",5,['Other'],"['Link', 'Building', 'Internet', 'Marketing', 'Marketing', 'Social', 'Media', 'Marketing']","[' Digital', ' SEO', ' High', ' Google', 'Digital', ' Experience', ' Years', ' Work', ' Website', ' years', ' web', ' Marketing', ' project']"
25,Canada,5.0,154,North America,"['Unity 3DGame', 'DevelopmentMobile', 'App', 'DevelopmentMayaC#', 'Programming']",5,['Other'],"['Unity', 'Game', 'Development', 'Mobile', 'App', 'Development', 'Maya', 'Programming']","[' Web', ' Custom', ' Graphic', ' development', ' React', ' Project', ' digital', ' using', ' Adobe', ' Website', ' Business', 'App', ' Design', ' App', ' Management', ' Development', ' services', ' Services', ' Mobile', ' Content', ' business']"
6,India,5.0,3388,Asia,"['SEOInternet', 'MarketingLink', 'BuildingMarketingWordPress']",5,['Other'],"['Internet', 'Marketing', 'Link', 'Building', 'Marketing', 'Word', 'Press']","[' Web', 'SEO', ' Development', ' SEO', ' content', ' High', ' quality', ' WordPress', ' Google', ' Social', ' Design', ' website', ' Website', ' Management', ' Marketing']"
25,India,5.0,1340,Asia,"['3D', 'Modelling3D', 'Rendering3D', 'Animation3ds', 'MaxGraphic', 'Design']",4,['Graphic Design'],"['Modelling', 'Rendering', 'Animation', 'ds', 'Max', 'Graphic', 'Design']","[' expertise', ' Designer', ' work', ' designs', ' Client', ' experience', 'years', ' applications', ' project']"
35,India,5.0,462,Asia,"['PHPHTMLWebsite', 'DesignGraphic', 'DesignWordPress']",5,"['Graphic Design', 'Web Development']","['Website', 'Design', 'Graphic', 'Design', 'Word', 'Press']","[' Web', ' quality', ' projects', ' developer', ' Custom', ' skills', 'experience', ' experience', ' custom', ' development', ' React', ' PHP', ' Expert', ' expertise', ' Working', ' work', ' website', ' Website', ' years', ' mobile', ' app', ' Google', ' Professional', ' Developer', ' App', ' professional', ' Development', ' JS', ' Client', ' Expertise', ' Project', ' WordPress']"
40,Germany,5.0,397,Europe,"['Website', 'DesignHTMLPHPGraphic', 'DesigneCommerce']",3,"['Graphic Design', 'Web Development']","['Website', 'Design', 'Graphic', 'Designe', 'Commerce']","[' Web', ' quality', ' projects', ' Solutions', ' Custom', ' Applications', ' experience', ' development', ' PHP', ' client', ' web', ' project', ' solutions', ' expertise', ' years', 'web', ' Php', ' design', ' Development', ' services', ' Skills', ' WordPress']"
30,Canada,5.0,1020,North America,"['3D', 'Rendering3D', 'Modelling3D', 'Animation3ds', 'MaxBuilding', 'Architecture']",5,['Programming'],"['Rendering', 'Modelling', 'Animation', 'ds', 'Max', 'Building', 'Architecture']","[' clients', ' projects', ' solutions', ' expertise', ' high', ' Design', ' experience', 'years', ' working']"
18,India,5.0,1592,Asia,"['3D', 'Modelling3D', 'Rendering3D', 'Animation3ds', 'Max3D', 'Design']",5,['Graphic Design'],"['Modelling', 'Rendering', 'Animation', 'ds', 'Max', 'Design']","[' Software', ' clients', ' projects', ' experience', 'years']"
15,India,5.0,1791,Asia,"['SEOLink', 'BuildingInternet', 'MarketingMarketingAdvertising']",5,['Marketing'],"['Link', 'Building', 'Internet', 'Marketing', 'Marketing', 'Advertising']","[' skills', ' experience', ' Years', ' web', ' Expert', ' project', ' work', ' website', ' Website', ' years', ' clients', ' SEO', ' High', ' Google', ' Professional', ' professional', 'SEO', ' services', ' Expertise', ' Project']"
35,Pakistan,5.0,115,Asia,"['Mobile', 'App', 'DevelopmentiPhoneAndroidJavaJavaScript']",5,['Programming'],"['Mobile', 'App', 'Developmenti', 'Phone', 'Android', 'Java', 'Java', 'Script']","[' Web', ' digital', ' expertise', ' Custom', ' WordPress', ' years', 'software', ' development', ' business']"
20,India,5.0,857,Asia,"['PHPHTMLWordPressWebsite', 'DesignGraphic', 'Design']",5,"['Graphic Design', 'Web Development']","['Word', 'Press', 'Website', 'Design', 'Graphic', 'Design']","[' Web', ' projects', ' Custom', ' Data', 'working', ' experience', ' development', ' PHP', ' client', ' using', ' work', ' website', ' Website', ' years', ' mobile', ' clients', ' software', ' App', ' design', ' working', ' Development', ' JS', ' APP', ' WordPress']"
